coder_id,coder,jobset,unit_id,unit_status,variable,value,time_question,time_answer,field
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2827,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:10.388Z,2024-10-19T17:29:15.897Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2828,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:20.343Z,2024-10-19T17:29:22.250Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2829,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:24.525Z,2024-10-19T17:29:27.944Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2830,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:29.990Z,2024-10-19T17:29:32.179Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2831,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:34.087Z,2024-10-19T17:29:36.266Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2832,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:38.269Z,2024-10-19T17:29:42.186Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2833,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:44.312Z,2024-10-19T17:29:46.738Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2834,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:29:48.489Z,2024-10-19T17:29:52.296Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2835,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:54.955Z,2024-10-19T17:29:57.295Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2836,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:29:59.094Z,2024-10-19T17:30:01.389Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2837,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:30:03.067Z,2024-10-19T17:30:06.292Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2838,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:30:08.303Z,2024-10-19T17:30:10.769Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2839,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:30:12.463Z,2024-10-19T17:30:15.037Z,
17165,7lkguFRx_T_vLTOPQUkzfg**,set_71,s2840,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:30:16.805Z,2024-10-19T17:30:19.944Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,intro,DONE,intro,confirmed,2024-10-19T17:30:28.735Z,2024-10-19T17:30:30.718Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,survey,DONE,geslacht,Vrouw,2024-10-19T17:30:31.911Z,2024-10-19T17:30:44.925Z,
